model,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_roc_auc_mean,cv_pr_auc_mean,cv_accuracy_std,cv_precision_std,cv_recall_std,cv_f1_std,cv_roc_auc_std,cv_pr_auc_std
Logistic Regression,0.9510763033700131,0.0,0.0,0.0,0.839678399196394,0.19253788579280057,2.9321774669475356e-05,0.0,0.0,0.0,0.010664102646823092,0.040986305132321973
SVM,0.9513211014116288,0.0,0.0,0.0,0.601234949249088,0.10059768918142131,0.0004722095582243762,0.0,0.0,0.0,0.01289212329290263,0.019419052367436355
Random Forest,0.9510766026341229,0.2,0.005,0.00975609756097561,0.8113864333980014,0.16823110498672517,0.0013287934414790998,0.4000000000000001,0.01,0.01951219512195122,0.01266858061928827,0.037270628169143664
Gradient Boosting,0.9498541087465922,0.3,0.02012820512820513,0.03746172526660332,0.8426655582600311,0.19510613229792173,0.001518448043917537,0.18708286933869708,0.01006716432276953,0.01877464669086123,0.0148876283767768,0.029651104753826606
XGBoost,0.9486304178026235,0.2876190476190476,0.035256410256410256,0.06190612099525035,0.8341426305115253,0.19974136908222784,0.0010800551584406895,0.04871128324778826,0.012568026598105096,0.01972138796528046,0.020430433629427147,0.0668796541077679
