model,accuracy,precision,recall,f1,roc_auc,balanced_accuracy,roc_auc_std
gradient_boosting,0.9393749999999998,0.9293070551627892,0.8134598905807133,0.8670315218784136,0.988509968857026,0.8966537839320091,0.0016290400479854804
random_forest,0.9328749999999999,0.9057754496838399,0.8083185024059059,0.8541121317230514,0.9861966504996952,0.8906144722824516,0.001689257248471623
logistic_regression,0.922375,0.7859812553559343,0.9357616505174345,0.8543298191132751,0.9755031985590501,0.9269158417398714,0.00216556153114826
svm,0.9172499999999999,0.7866113068584879,0.9054485531606355,0.8418442395348664,0.9750993193710025,0.9132460774279199,0.0022109565149776916
