model,accuracy,precision,recall,f1,roc_auc,balanced_accuracy,roc_auc_std
logistic_regression,0.7205734767025089,0.8583825944170771,0.7546140350877193,0.7717863807274747,0.7727426900584795,0.6939736842105264,0.19614979834587876
gradient_boosting,0.6985304659498208,0.8280439560439561,0.7870877192982456,0.788431163888791,0.7499809941520469,0.6435438596491228,0.2274052040983163
random_forest,0.7503584229390681,0.8265370758273983,0.875,0.8215166189742462,0.677,0.6708333333333333,0.26838643366939724
svm,0.6972043010752688,0.7990224828934507,0.8583333333333334,0.7915238095238095,0.6738698830409355,0.6125,0.29280289651525315
