model,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std
Logistic Regression,0.7882313741170198,0.019056824693417025,0.7638075920023182,0.05977298511205282,0.5747508305647842,0.022727749337524358,0.6545454545454545,0.024423199069116826,0.8433637873754153,0.018549552071526722
SVM,0.7801279488204719,0.013623252438776188,0.7415343915343915,0.06435480860214439,0.5841638981173864,0.05723335353011095,0.648461736901125,0.018709830329590033,0.8333084163898116,0.022803458956872403
Random Forest,0.7687191789950686,0.027094146712787558,0.6994755054295944,0.06359391716812984,0.6027685492801772,0.025752211432944833,0.6457663884886522,0.02982253529379505,0.8209482281284608,0.020899950976638763
Gradient Boosting,0.7556843929095028,0.018018670226675457,0.6721445221445221,0.05080412025618285,0.5981173864894795,0.030798216249424058,0.6307504916889637,0.013416888765670569,0.820563399778516,0.015529968600649445
XGBoost,0.7475676396108224,0.019086331937174614,0.656945412311266,0.03805516149222147,0.5842746400885936,0.04100504684976388,0.6170423575769797,0.027623259738008502,0.7978779069767442,0.029006559188103225
