model,best_parameters,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_recall_mean,cv_recall_std,cv_specificity_mean,cv_specificity_std,cv_precision_mean,cv_f1_mean,cv_accuracy_mean
Logistic Regression,"{""C"": 0.1}",0.9441,0.0174,0.992,0.0026,0.864,0.0333,0.8614,0.04,0.8667,0.0667,0.9792,0.916,0.8626
Extra Trees,"{""max_depth"": null, ""min_samples_leaf"": 4, ""n_estimators"": 200}",0.9335,0.0155,0.9906,0.0025,0.8635,0.0498,0.8889,0.0271,0.8381,0.1058,0.9751,0.9297,0.8828
Support Vector Machine,"{""C"": 1.0, ""gamma"": 0.01}",0.9334,0.0264,0.9902,0.0042,0.8617,0.027,0.8567,0.0363,0.8667,0.0667,0.9792,0.9133,0.8585
Random Forest,"{""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 400}",0.9283,0.0195,0.9898,0.0032,0.7628,0.0548,0.9399,0.0111,0.5857,0.1017,0.94,0.9399,0.8949
HistGradientBoosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""max_iter"": 100, ""min_samples_leaf"": 10}",0.9032,0.027,0.9857,0.0045,0.7753,0.0653,0.903,0.0365,0.6476,0.1121,0.9465,0.924,0.8708
