model,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std
Logistic Regression,0.8284355179704017,0.06390550853393422,0.8339572192513369,0.08784714496494682,0.7705263157894737,0.09816036401578751,0.7981917108746377,0.08007443521680645,0.9097149122807018,0.036232397473177996
SVM,0.8194503171247357,0.051744806903267146,0.8179971988795518,0.07660129808464856,0.771578947368421,0.08904541466339622,0.7904761904761906,0.06481168332787221,0.9032675438596491,0.03649114899620316
Random Forest,0.8191331923890063,0.08018818740388924,0.8206196092237283,0.11090633648377872,0.77,0.13239326961494371,0.7877106227106228,0.10479379749693159,0.902905701754386,0.04733122219519177
Gradient Boosting,0.8006342494714588,0.04869743779750689,0.7656038647342995,0.07168105458428144,0.8021052631578947,0.06116142756351138,0.781607865818392,0.05302415433098258,0.8799561403508772,0.04391829412603831
XGBoost,0.8144820295983086,0.07106708015765238,0.7987107581400219,0.10362147708134145,0.7910526315789473,0.06788453615741567,0.7927111611322137,0.07683557742547942,0.8972149122807018,0.05455052565451927
